"module_accession","completeness","pathway_name","pathway_class","matching_ko","missing_ko"
"M00015","100.0","Proline biosynthesis, glutamate => proline","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K00147,K00286,K00931",""
"M00016","100.0","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K01778,K00215,K00821,K00928,K01714,K00133,K00674,K01586,K01439",""
"M00017","100.0","Methionine biosynthesis, apartate => homoserine => methionine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00003,K01760,K01739,K00651,K00928,K00548,K00133",""
"M00018","100.0","Threonine biosynthesis, aspartate => homoserine => threonine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K00003,K00872,K00928,K00133,K01733",""
"M00019","100.0","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01652,K00053,K00826,K01653,K01687",""
"M00020","100.0","Serine biosynthesis, glycerate-3P => serine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K01079,K00831,K00058",""
"M00021","100.0","Cysteine biosynthesis, serine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00640,K01738",""
"M00022","100.0","Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01735,K00014,K01736,K00891,K01626,K00800,K03785",""
"M00023","100.0","Tryptophan biosynthesis, chorismate => tryptophan","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01695,K01657,K01609,K00766,K01696,K01817,K01658",""
"M00024","100.0","Phenylalanine biosynthesis, chorismate => phenylalanine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K04092,K00832,K01713",""
"M00025","100.0","Tyrosine biosynthesis, chorismate => tyrosine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K04517,K04092,K00832",""
"M00026","100.0","Histidine biosynthesis, PRPP => histidine","Pathway modules; Amino acid metabolism; Histidine metabolism","K00765,K02502,K02501,K01693,K01496,K04486,K00013,K01523,K02500,K01814,K00817",""
"M00027","100.0","GABA (gamma-Aminobutyrate) shunt","Pathway modules; Amino acid metabolism; Other amino acid metabolism","K01580,K00135,K07250",""
"M00028","100.0","Ornithine biosynthesis, glutamate => ornithine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K00145,K01438,K00821,K00930,K00619",""
"M00031","100.0","Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K05826",""
"M00033","100.0","Ectoine biosynthesis, aspartate => ectoine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K06720,K00836,K00928,K06718,K00133",""
"M00034","100.0","Methionine salvage pathway","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00797,K01611,K09880,K08967,K01243,K00899,K08963,K00832,K00789,K08964",""
"M00035","100.0","Methionine degradation","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00789,K00558,K01697,K01251",""
"M00036","100.0","Leucine degradation, leucine => acetoacetate + acetyl-CoA","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K00382,K01640,K13766,K01968,K09699,K00167,K00166,K00826,K01969,K00253",""
"M00038","100.0","Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01432,K00486,K00452,K03392,K00453,K10217,K01556",""
"M00040","100.0","Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00220,K04092,K00832",""
"M00044","100.0","Tyrosine degradation, tyrosine => homogentisate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00457,K00451,K00832,K01555,K01800",""
"M00045","100.0","Histidine degradation, histidine => N-formiminoglutamate => glutamate","Pathway modules; Amino acid metabolism; Histidine metabolism","K01479,K01745,K01712,K01468",""
"M00046","100.0","Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K01431,K17723,K01464,K17722",""
"M00048","100.0","Inosine monophosphate biosynthesis, PRPP + glutamine => IMP","Pathway modules; Nucleotide metabolism; Purine metabolism","K11175,K00764,K00602,K01923,K01933,K01756,K01952,K01945",""
"M00049","100.0","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP","Pathway modules; Nucleotide metabolism; Purine metabolism","K01939,K01756,K00940,K00939",""
"M00050","100.0","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Pathway modules; Nucleotide metabolism; Purine metabolism","K00088,K00940,K01951,K00942",""
"M00052","100.0","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K00940,K09903,K01937",""
"M00053","100.0","Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K21636,K00526,K00940,K01494,K00943,K01520,K00560,K00525",""
"M00061","100.0","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00040,K01812,K00874,K01686,K01625",""
"M00063","100.0","CMP-KDO biosynthesis","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K01627,K00979,K06041,K03270",""
"M00064","100.0","ADP-L-glycero-D-manno-heptose biosynthesis","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K03271,K03273,K03274,K03272",""
"M00075","100.0","N-glycan biosynthesis, complex type","Pathway modules; Glycan metabolism; Glycan biosynthesis","K00737",""
"M00082","100.0","Fatty acid biosynthesis, initiation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K02160,K11533,K01961,K01962,K01963",""
"M00083","100.0","Fatty acid biosynthesis, elongation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K11533",""
"M00086","100.0","beta-Oxidation, acyl-CoA synthesis","Pathway modules; Lipid metabolism; Fatty acid metabolism","K01897",""
"M00087","100.0","beta-Oxidation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00232,K00632,K01692,K00022",""
"M00088","100.0","Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone","Pathway modules; Lipid metabolism; Lipid metabolism","K00019",""
"M00091","100.0","Phosphatidylcholine (PC) biosynthesis, PE => PC","Pathway modules; Lipid metabolism; Lipid metabolism","K00570",""
"M00093","100.0","Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE","Pathway modules; Lipid metabolism; Lipid metabolism","K00981,K17103,K01613",""
"M00096","100.0","C5 isoprenoid biosynthesis, non-mevalonate pathway","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K03526,K01770,K00099,K01823,K00991,K03527,K01662,K00919",""
"M00115","100.0","NAD biosynthesis, aspartate => NAD","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01916,K00969,K03517,K00278,K00767",""
"M00118","100.0","Glutathione biosynthesis, glutamate => glutathione","Pathway modules; Amino acid metabolism; Other amino acid metabolism","K01919,K01920",""
"M00119","100.0","Pantothenate biosynthesis, valine/L-aspartate => pantothenate","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00826,K00077,K00606",""
"M00120","100.0","Coenzyme A biosynthesis, pantothenate => CoA","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00954,K13038,K00867,K00859",""
"M00121","100.0","Heme biosynthesis, plants and bacteria, glutamate => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01749,K01845,K00228,K00230,K01885,K02492,K01698,K01772,K01599,K01719",""
"M00122","100.0","Cobalamin biosynthesis, cobinamide => cobalamin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K02231,K02232,K00798,K02225",""
"M00123","100.0","Biotin biosynthesis, pimeloyl-ACP/CoA => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00833,K01935,K01012,K00652",""
"M00125","100.0","Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01497,K20862,K11752",""
"M00126","100.0","Tetrahydrofolate biosynthesis, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01077,K00796,K00287,K11754,K01495,K13940",""
"M00127","100.0","Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03151,K03154,K03148",""
"M00133","100.0","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K01584,K01480",""
"M00134","100.0","Polyamine biosynthesis, arginine => ornithine => putrescine","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K01476,K01581",""
"M00135","100.0","GABA biosynthesis, eukaryotes, putrescine => GABA","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K00274,K00128,K00657",""
"M00140","100.0","C1-unit interconversion, prokaryotes","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01491,K00600,K01938",""
"M00144","100.0","NADH","Pathway modules; Energy metabolism; ATP synthesis","K00330,K00331,K00338,K00337,K00335,K00333,K00336,K00332,K00340,K00342,K00334,K00341,K00339,K00343",""
"M00149","100.0","Succinate dehydrogenase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K00242,K00241,K00239,K00240",""
"M00150","100.0","Fumarate reductase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K00244,K00247,K00246,K00245",""
"M00151","100.0","Cytochrome bc1 complex respiratory unit","Pathway modules; Energy metabolism; ATP synthesis","K00413,K00411,K00412",""
"M00153","100.0","Cytochrome bd ubiquinol oxidase","Pathway modules; Energy metabolism; ATP synthesis","K00426,K00424,K00425",""
"M00155","100.0","Cytochrome c oxidase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02275,K02274,K02276,K02277",""
"M00156","100.0","Cytochrome c oxidase, cbb3-type","Pathway modules; Energy metabolism; ATP synthesis","K00405,K00407,K00404,K00406",""
"M00157","100.0","F-type ATPase, prokaryotes and chloroplasts","Pathway modules; Energy metabolism; ATP synthesis","K02111,K02108,K02114,K02109,K02113,K02112,K02110,K02115",""
"M00165","100.0","Reductive pentose phosphate cycle (Calvin cycle)","Pathway modules; Energy metabolism; Carbon fixation","K01623,K00150,K03841,K00855,K01807,K00615,K00927,K01601,K01602,K11532",""
"M00166","100.0","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","Pathway modules; Energy metabolism; Carbon fixation","K00150,K01601,K00855,K01602,K00927",""
"M00167","100.0","Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","Pathway modules; Energy metabolism; Carbon fixation","K01623,K03841,K11532,K01807,K00615",""
"M00168","100.0","CAM (Crassulacean acid metabolism), dark","Pathway modules; Energy metabolism; Carbon fixation","K01595,K00024",""
"M00169","100.0","CAM (Crassulacean acid metabolism), light","Pathway modules; Energy metabolism; Carbon fixation","K00029,K01006",""
"M00176","100.0","Assimilatory sulfate reduction, sulfate => H2S","Pathway modules; Energy metabolism; Sulfur metabolism","K00390,K00958,K00380,K00381,K00860",""
"M00307","100.0","Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00382,K00163,K00627",""
"M00338","100.0","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K01697,K01758",""
"M00346","100.0","Formaldehyde assimilation, serine pathway","Pathway modules; Energy metabolism; Methane metabolism","K01689,K08692,K00018,K00600,K01595,K00024,K14067,K08691,K00830,K11529",""
"M00364","100.0","C10-C20 isoprenoid biosynthesis, bacteria","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823,K00795",""
"M00365","100.0","C10-C20 isoprenoid biosynthesis, archaea","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K13787,K01823",""
"M00373","100.0","Ethylmalonyl pathway","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K05606,K01965,K01847,K01966",""
"M00376","100.0","3-Hydroxypropionate bi-cycle","Pathway modules; Energy metabolism; Carbon fixation","K08691,K14449,K14470,K09709",""
"M00378","100.0","F420 biosynthesis","Pathway modules; Energy metabolism; Methane metabolism","K11779",""
"M00417","100.0","Cytochrome o ubiquinol oxidase","Pathway modules; Energy metabolism; ATP synthesis","K02298,K02300,K02297,K02299",""
"M00432","100.0","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01703,K00052,K01649,K01704",""
"M00526","100.0","Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K03340,K00215,K00928,K01714,K01586,K00133",""
"M00528","100.0","Nitrification, ammonia => nitrite","Pathway modules; Energy metabolism; Nitrogen metabolism","K10946,K10535,K10944,K10945",""
"M00529","100.0","Denitrification, nitrate => nitrogen","Pathway modules; Energy metabolism; Nitrogen metabolism","K04561,K00374,K02305,K00368,K00376,K00371,K00370",""
"M00530","100.0","Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","K00374,K00362,K00371,K00370,K00363",""
"M00532","100.0","Photorespiration","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00382,K02437,K00281,K00605",""
"M00533","100.0","Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00455,K00151,K01826,K05921",""
"M00545","100.0","Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K02554,K05713,K04073,K01666,K05714,K05712",""
"M00546","100.0","Purine degradation, xanthine => urea","Pathway modules; Nucleotide metabolism; Purine metabolism","K00365,K13485,K13481,K01466,K07127,K13482,K01477",""
"M00549","100.0","Nucleotide sugar biosynthesis, glucose => UDP-glucose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00845,K01835,K00963",""
"M00551","100.0","Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K05550,K05549,K05783,K05784",""
"M00552","100.0","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01631,K00134,K00883,K01684,K00927",""
"M00554","100.0","Nucleotide sugar biosynthesis, galactose => UDP-galactose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00965,K00849",""
"M00555","100.0","Betaine biosynthesis, choline => betaine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K17755",""
"M00565","100.0","Trehalose biosynthesis, D-glucose 1P => trehalose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00703,K06044,K00700,K01236,K01214,K00975",""
"M00568","100.0","Catechol ortho-cleavage, catechol => 3-oxoadipate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K03464,K01856,K03381,K01055",""
"M00569","100.0","Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K02554,K10216,K00446,K18365,K18366",""
"M00570","100.0","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01652,K00053,K00826,K01653,K01687,K17989",""
"M00572","100.0","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K02170,K02372,K00208,K00059,K02169,K00647",""
"M00579","100.0","Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate","Pathway modules; Energy metabolism; Carbon fixation","K00625,K00925",""
"M00595","100.0","Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Pathway modules; Energy metabolism; Sulfur metabolism","K17227,K17225,K17226,K17224,K17222,K22622,K17223",""
"M00627","100.0","beta-Lactam resistance, Bla system","Signature modules; Gene set; Drug resistance","K17836,K02172,K02171",""
"M00631","100.0","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01812,K00874,K00041,K01685,K01625",""
"M00632","100.0","Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00965,K01784,K00849,K01785",""
"M00637","100.0","Anthranilate degradation, anthranilate => catechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K05600,K05599,K11311",""
"M00639","100.0","Multidrug resistance, efflux pump MexCD-OprJ","Signature modules; Gene set; Drug resistance","K18294,K18295,K18296,K08721",""
"M00641","100.0","Multidrug resistance, efflux pump MexEF-OprN","Signature modules; Gene set; Drug resistance","K18300,K18299,K18298,K18297",""
"M00642","100.0","Multidrug resistance, efflux pump MexJK-OprM","Signature modules; Gene set; Drug resistance","K18303,K18139,K18301,K18302",""
"M00649","100.0","Multidrug resistance, efflux pump AdeABC","Signature modules; Gene set; Drug resistance","K18145,K18146,K18143,K18144",""
"M00741","100.0","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K05606,K01965,K01847,K01966",""
"M00745","100.0","Imipenem resistance, repression of porin OprD","Signature modules; Gene set; Drug resistance","K07644,K07665",""
"M00763","100.0","Ornithine biosynthesis, mediated by LysW, glutamate => ornithine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K05826",""
"M00793","100.0","dTDP-L-rhamnose biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K00067,K00973,K01710,K01790",""
"M00804","100.0","Complete nitrification, comammox, ammonia => nitrite => nitrate","Pathway modules; Energy metabolism; Nitrogen metabolism","K10946,K10945,K10944,K10535,K00371,K00370",""
"M00844","100.0","Arginine biosynthesis, ornithine => arginine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K01940,K00611,K01755",""
"M00845","100.0","Arginine biosynthesis, glutamate => acetylcitrulline => arginine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K09065,K00145,K22478,K01438,K00821,K01940,K01755",""
"M00846","100.0","Siroheme biosynthesis, glutamate => siroheme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K02302,K01749,K02492,K01698,K01845,K01719,K01885",""
"M00851","100.0","Carbapenem resistance","Signature modules; Gene set; Drug resistance","K18972",""
"M00854","100.0","Glycogen biosynthesis, glucose-1P => glycogen/starch","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K16150,K00963",""
"M00855","100.0","Glycogen degradation, glycogen => glucose-6P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00688,K01835,K00705,K01200",""
"M00866","100.0","KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K02536,K00748,K02527,K03269,K02535,K09778,K00677,K02517,K00912",""
"M00868","100.0","Heme biosynthesis, animals and fungi, glycine => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01749,K00228,K00231,K01772,K01698,K01599,K01719,K00643",""
"M00879","100.0","Arginine succinyltransferase pathway, arginine => glutamate","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K06447,K00673,K00840,K05526,K01484",""
"M00880","100.0","Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03831,K03637,K03750,K03639,K03635",""
"M00051","94.44","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K01955,K00762,K01591,K01465,K01956,K00254,K00609","K00610"
"M00173","90.0","Reductive citrate cycle (Arnon-Buchanan cycle)","Pathway modules; Energy metabolism; Carbon fixation","K00242,K00240,K01681,K01007,K01595,K01902,K00241,K03737,K00176,K00031,K01903,K00177,K00174,K00024,K00239,K01676,K00175","K15230,K15231"
"M00060","88.89","KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K02536,K00748,K02527,K03269,K02535,K00677,K02517,K00912","K02560"
"M00116","88.89","Menaquinone biosynthesis, chorismate => menaquinol","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K02548,K01661,K01911,K03183,K02549,K02551,K19222,K02552","K08680"
"M00117","88.89","Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03181,K18800,K03182,K03186,K00568,K03183,K03179,K03185","K03184"
"M00527","85.71","Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K01778,K00215,K00928,K01714,K01586,K00133","K10206"
"M00878","85.71","Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K02618,K00074,K02612,K02611,K02613,K01692,K02610,K01912,K02609,K15866","K02615"
"M00124","83.33","Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00275,K03474,K00831,K03473,K00097","K03472"
"M00623","83.33","Phthalate degradation, phthalate => protocatechuate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K18068,K18067,K04102","K18069"
"M00029","80.0","Urea cycle","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K01940,K00611,K01755,K01476","K01948"
"M00540","80.0","Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K07535,K07536,K04117,K04116","K07534"
"M00575","80.0","Pertussis pathogenicity signature, T1SS","Signature modules; Gene set; Pathogenicity","K11004,K11003,K12340,K07389","K22944"
"M00577","80.0","Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00833,K01935,K01012,K00652","K01906"
"M00172","75.0","C4-dicarboxylic acid cycle, NADP - malic enzyme type","Pathway modules; Energy metabolism; Carbon fixation","K01595,K01006,K00029","K00051"
"M00308","75.0","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00874,K00134,K01625,K00927","K05308"
"M00344","75.0","Formaldehyde assimilation, xylulose monophosphate pathway","Pathway modules; Energy metabolism; Methane metabolism","K01624,K03841,K00863","K17100"
"M00622","75.0","Nicotinate degradation, nicotinate => fumarate","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K15357,K01799,K13995,K18029,K18028","K14974,K18030"
"M00374","67.31","Dicarboxylate-hydroxybutyrate cycle","Pathway modules; Energy metabolism; Carbon fixation","K14534,K00240,K01007,K01595,K01902,K14465,K00170,K00024,K00239,K00241,K00626,K00169,K01903,K00172","K15038,K15016,K00171,K01678,K01677,K14467"
"M00345","66.67","Formaldehyde assimilation, ribulose monophosphate pathway","Pathway modules; Energy metabolism; Methane metabolism","K01624,K00850","K08094,K08093"
"M00525","66.67","Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K01778,K00215,K00928,K01714,K01586,K00133","K05823,K05822,K00841"
"M00535","66.67","Isoleucine biosynthesis, pyruvate => 2-oxobutanoate","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01703,K00052,K01704","K09011"
"M00537","66.67","Xylene degradation, xylene => methylbenzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K00141,K00055","K15758,K15757"
"M00538","66.67","Toluene degradation, toluene => benzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K00141,K15765,K00055,K15762","K15761,K15764,K15760,K15763"
"M00548","66.67","Benzene degradation, benzene => catechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K16249,K16243,K16242,K16244","K16246,K16245"
"M00698","66.67","Multidrug resistance, efflux pump BpeEF-OprC","Signature modules; Gene set; Drug resistance","K18900,K18903","K18901,K18902"
"M00744","66.67","Cationic antimicrobial peptide (CAMP) resistance, protease PgtE","Signature modules; Gene set; Drug resistance","K07637,K07660","K08477"
"M00840","66.67","Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01633,K00287,K22099,K14652","K13941,K22100"
