"module_accession","completeness","pathway_name","pathway_class","matching_ko","missing_ko"
"M00020","100.0","Serine biosynthesis, glycerate-3P => serine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K00058,K00831,K01079",""
"M00021","100.0","Cysteine biosynthesis, serine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00640,K01738",""
"M00022","100.0","Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00800,K00891,K01736,K01626,K03785,K00014,K01735",""
"M00023","100.0","Tryptophan biosynthesis, chorismate => tryptophan","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01657,K01695,K00766,K01696,K01658,K01817,K01609",""
"M00024","100.0","Phenylalanine biosynthesis, chorismate => phenylalanine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K04092,K01713,K00832",""
"M00025","100.0","Tyrosine biosynthesis, chorismate => tyrosine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K04092,K04517,K00832",""
"M00026","100.0","Histidine biosynthesis, PRPP => histidine","Pathway modules; Amino acid metabolism; Histidine metabolism","K00765,K04486,K01523,K02500,K00817,K00013,K01693,K01496,K01814,K02501,K02502",""
"M00028","100.0","Ornithine biosynthesis, glutamate => ornithine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K00145,K00619,K01438,K00930,K00821",""
"M00031","100.0","Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K05826",""
"M00033","100.0","Ectoine biosynthesis, aspartate => ectoine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K00133,K06720,K06718,K00928,K00836",""
"M00034","100.0","Methionine salvage pathway","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00797,K08967,K08963,K09880,K01611,K00899,K00789,K00832,K01243,K08964",""
"M00035","100.0","Methionine degradation","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00558,K01697,K00789,K01251",""
"M00036","100.0","Leucine degradation, leucine => acetoacetate + acetyl-CoA","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K00826,K00382,K00167,K01969,K01968,K09699,K13766,K00253,K01640,K00166",""
"M00038","100.0","Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01432,K10217,K00486,K00452,K00453,K03392,K01556",""
"M00040","100.0","Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K04092,K00220,K00832",""
"M00044","100.0","Tyrosine degradation, tyrosine => homogentisate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00451,K01800,K00832,K01555,K00457",""
"M00045","100.0","Histidine degradation, histidine => N-formiminoglutamate => glutamate","Pathway modules; Amino acid metabolism; Histidine metabolism","K01479,K01712,K01468,K01745",""
"M00046","100.0","Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K01464,K06016,K17722,K17723",""
"M00048","100.0","Inosine monophosphate biosynthesis, PRPP + glutamine => IMP","Pathway modules; Nucleotide metabolism; Purine metabolism","K01756,K01945,K11175,K01923,K01952,K01933,K00764,K00602",""
"M00049","100.0","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP","Pathway modules; Nucleotide metabolism; Purine metabolism","K01756,K01939,K00939,K00940",""
"M00050","100.0","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","Pathway modules; Nucleotide metabolism; Purine metabolism","K00942,K00088,K01951,K00940",""
"M00051","100.0","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K00254,K00610,K01955,K00609,K01465,K13421,K01956",""
"M00052","100.0","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K00940,K09903,K01937",""
"M00053","100.0","Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP","Pathway modules; Nucleotide metabolism; Pyrimidine metabolism","K00526,K21636,K00943,K01494,K00560,K00525,K00940,K01520",""
"M00060","100.0","KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K02560,K02517,K00677,K00748,K02535,K00912,K02527,K03269,K02536",""
"M00061","100.0","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01812,K00040,K01686,K00874,K01625",""
"M00063","100.0","CMP-KDO biosynthesis","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K06041,K00979,K01627,K03270",""
"M00064","100.0","ADP-L-glycero-D-manno-heptose biosynthesis","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K03271,K03272,K03274,K03273",""
"M00075","100.0","N-glycan biosynthesis, complex type","Pathway modules; Glycan metabolism; Glycan biosynthesis","K00737",""
"M00082","100.0","Fatty acid biosynthesis, initiation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00645,K00648,K01961,K02160,K01962,K01963",""
"M00083","100.0","Fatty acid biosynthesis, elongation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00647,K02372,K00059,K00208",""
"M00086","100.0","beta-Oxidation, acyl-CoA synthesis","Pathway modules; Lipid metabolism; Fatty acid metabolism","K01897",""
"M00087","100.0","beta-Oxidation","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00232,K00632,K07516,K01692",""
"M00088","100.0","Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone","Pathway modules; Lipid metabolism; Lipid metabolism","K01641,K01640,K00626",""
"M00091","100.0","Phosphatidylcholine (PC) biosynthesis, PE => PC","Pathway modules; Lipid metabolism; Lipid metabolism","K00570",""
"M00093","100.0","Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE","Pathway modules; Lipid metabolism; Lipid metabolism","K01613,K00998,K00981",""
"M00095","100.0","C5 isoprenoid biosynthesis, mevalonate pathway","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823,K00869,K00938,K00021,K01641,K01597,K00626",""
"M00096","100.0","C5 isoprenoid biosynthesis, non-mevalonate pathway","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K03527,K01662,K00991,K00919,K03526,K01770,K01823,K00099",""
"M00115","100.0","NAD biosynthesis, aspartate => NAD","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03517,K00767,K00278,K01916,K00969",""
"M00116","100.0","Menaquinone biosynthesis, chorismate => menaquinol","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K19222,K02549,K01661,K03183,K02552,K02551,K08680,K01911,K02548",""
"M00117","100.0","Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03186,K03181,K03184,K03185,K00568,K03183,K18800,K03179,K03182",""
"M00118","100.0","Glutathione biosynthesis, glutamate => glutathione","Pathway modules; Amino acid metabolism; Other amino acid metabolism","K01919,K01920",""
"M00119","100.0","Pantothenate biosynthesis, valine/L-aspartate => pantothenate","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00826,K00077,K00606",""
"M00120","100.0","Coenzyme A biosynthesis, pantothenate => CoA","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K13038,K00954,K00859,K00867",""
"M00121","100.0","Heme biosynthesis, plants and bacteria, glutamate => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01719,K01772,K01698,K01845,K00228,K01749,K02492,K01885,K00230,K01599",""
"M00122","100.0","Cobalamin biosynthesis, cobinamide => cobalamin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00798,K02225,K02232,K02231",""
"M00123","100.0","Biotin biosynthesis, pimeloyl-ACP/CoA => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00833,K01012,K01935,K00652",""
"M00124","100.0","Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00275,K03474,K00831,K00097,K03473,K03472",""
"M00125","100.0","Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K20862,K11752,K01497",""
"M00126","100.0","Tetrahydrofolate biosynthesis, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01077,K11754,K00287,K01633,K00796,K00950,K01495",""
"M00127","100.0","Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03148,K03151,K03154",""
"M00133","100.0","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K01584,K01480",""
"M00134","100.0","Polyamine biosynthesis, arginine => ornithine => putrescine","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K01581,K01476",""
"M00135","100.0","GABA biosynthesis, eukaryotes, putrescine => GABA","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K14085,K00657,K00274",""
"M00140","100.0","C1-unit interconversion, prokaryotes","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01938,K01491,K00600",""
"M00144","100.0","NADH","Pathway modules; Energy metabolism; ATP synthesis","K00333,K00336,K00334,K00337,K00339,K00340,K00331,K00342,K00330,K00335,K00332,K00338,K00341,K00343",""
"M00149","100.0","Succinate dehydrogenase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K00241,K00239,K00242,K00240",""
"M00150","100.0","Fumarate reductase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K00244,K00247,K00245,K00246",""
"M00151","100.0","Cytochrome bc1 complex respiratory unit","Pathway modules; Energy metabolism; ATP synthesis","K00412,K00413,K00411",""
"M00153","100.0","Cytochrome bd ubiquinol oxidase","Pathway modules; Energy metabolism; ATP synthesis","K00425,K00426,K00424",""
"M00155","100.0","Cytochrome c oxidase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02274,K02275,K02276",""
"M00156","100.0","Cytochrome c oxidase, cbb3-type","Pathway modules; Energy metabolism; ATP synthesis","K00405,K00406,K00404,K00407",""
"M00157","100.0","F-type ATPase, prokaryotes and chloroplasts","Pathway modules; Energy metabolism; ATP synthesis","K02114,K02109,K02111,K02112,K02108,K02115,K02113,K02110",""
"M00165","100.0","Reductive pentose phosphate cycle (Calvin cycle)","Pathway modules; Energy metabolism; Carbon fixation","K01623,K11532,K03841,K00855,K00615,K00927,K00150,K01601,K01807",""
"M00166","100.0","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","Pathway modules; Energy metabolism; Carbon fixation","K00927,K00150,K00855,K01601",""
"M00167","100.0","Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","Pathway modules; Energy metabolism; Carbon fixation","K01623,K11532,K03841,K00615,K01807",""
"M00168","100.0","CAM (Crassulacean acid metabolism), dark","Pathway modules; Energy metabolism; Carbon fixation","K00024,K01595",""
"M00169","100.0","CAM (Crassulacean acid metabolism), light","Pathway modules; Energy metabolism; Carbon fixation","K01006,K00029",""
"M00176","100.0","Assimilatory sulfate reduction, sulfate => H2S","Pathway modules; Energy metabolism; Sulfur metabolism","K00390,K00380,K00958,K00381,K00860",""
"M00307","100.0","Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00382,K00627,K00163",""
"M00338","100.0","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K01758,K01697",""
"M00345","100.0","Formaldehyde assimilation, ribulose monophosphate pathway","Pathway modules; Energy metabolism; Methane metabolism","K08093,K08094,K01624,K00850",""
"M00364","100.0","C10-C20 isoprenoid biosynthesis, bacteria","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823,K00795",""
"M00373","100.0","Ethylmalonyl pathway","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01965,K01966,K05606,K01847",""
"M00378","100.0","F420 biosynthesis","Pathway modules; Energy metabolism; Methane metabolism","K11779",""
"M00417","100.0","Cytochrome o ubiquinol oxidase","Pathway modules; Energy metabolism; ATP synthesis","K02299,K02297,K02298,K02300",""
"M00432","100.0","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01704,K01649,K00052,K01703",""
"M00526","100.0","Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K00133,K03340,K01586,K01714,K00928,K00215",""
"M00527","100.0","Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K00133,K01586,K01714,K10206,K00928,K00215,K01778",""
"M00529","100.0","Denitrification, nitrate => nitrogen","Pathway modules; Energy metabolism; Nitrogen metabolism","K00370,K00374,K00368,K00371,K04561,K00376,K02305",""
"M00530","100.0","Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","K00363,K00370,K00374,K00371,K00362",""
"M00532","100.0","Photorespiration","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00281,K00382,K00605,K02437",""
"M00533","100.0","Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K00151,K05921,K00455,K01826",""
"M00535","100.0","Isoleucine biosynthesis, pyruvate => 2-oxobutanoate","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K01704,K00052,K01703,K09011",""
"M00545","100.0","Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01666,K05714,K04073,K02554,K05713,K05712",""
"M00546","100.0","Purine degradation, xanthine => urea","Pathway modules; Nucleotide metabolism; Purine metabolism","K13481,K16839,K13485,K16842,K07127,K13482,K01477",""
"M00548","100.0","Benzene degradation, benzene => catechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K16249,K16245,K16246,K16242,K16244,K16243",""
"M00549","100.0","Nucleotide sugar biosynthesis, glucose => UDP-glucose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00963,K00844,K01835",""
"M00550","100.0","Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K02822,K02821,K03078,K03475,K03077,K03476,K03079",""
"M00551","100.0","Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K05550,K05784,K05549,K05783",""
"M00552","100.0","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00883,K00927,K01684,K01631,K00134",""
"M00554","100.0","Nucleotide sugar biosynthesis, galactose => UDP-galactose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00849,K00965",""
"M00555","100.0","Betaine biosynthesis, choline => betaine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","K00108,K00130",""
"M00565","100.0","Trehalose biosynthesis, D-glucose 1P => trehalose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00700,K06044,K01214,K00975,K00703,K01236",""
"M00568","100.0","Catechol ortho-cleavage, catechol => 3-oxoadipate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K01856,K03464,K01055,K03381",""
"M00569","100.0","Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K10217,K18365,K01821,K18364,K18366,K01617,K00446",""
"M00570","100.0","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","K00826,K01653,K01687,K00053,K01652,K01754",""
"M00572","100.0","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00647,K00208,K02372,K00059,K02170,K02169",""
"M00579","100.0","Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate","Pathway modules; Energy metabolism; Carbon fixation","K00925,K00625",""
"M00580","100.0","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K08093,K08094,K01807",""
"M00595","100.0","Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Pathway modules; Energy metabolism; Sulfur metabolism","K17222,K17227,K17224,K17225,K17223,K22622,K17226",""
"M00623","100.0","Phthalate degradation, phthalate => protocatechuate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K18069,K04102,K18068,K18067",""
"M00631","100.0","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01685,K01812,K00041,K00874,K01625",""
"M00632","100.0","Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00849,K00965,K01785,K01784",""
"M00638","100.0","Salicylate degradation, salicylate => gentisate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K14578,K18242,K18243,K14581",""
"M00639","100.0","Multidrug resistance, efflux pump MexCD-OprJ","Signature modules; Gene set; Drug resistance","K18294,K08721,K18296,K18295",""
"M00641","100.0","Multidrug resistance, efflux pump MexEF-OprN","Signature modules; Gene set; Drug resistance","K18299,K18298,K18297,K18300",""
"M00642","100.0","Multidrug resistance, efflux pump MexJK-OprM","Signature modules; Gene set; Drug resistance","K18303,K18302,K18139,K18301",""
"M00643","100.0","Multidrug resistance, efflux pump MexXY-OprM","Signature modules; Gene set; Drug resistance","K18095,K18094,K18129,K18139",""
"M00649","100.0","Multidrug resistance, efflux pump AdeABC","Signature modules; Gene set; Drug resistance","K18144,K18145,K18143,K18146",""
"M00698","100.0","Multidrug resistance, efflux pump BpeEF-OprC","Signature modules; Gene set; Drug resistance","K18903,K18901,K18900,K18902",""
"M00718","100.0","Multidrug resistance, efflux pump MexAB-OprM","Signature modules; Gene set; Drug resistance","K18138,K03585,K18131,K18139",""
"M00741","100.0","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01965,K01966,K05606,K01847",""
"M00745","100.0","Imipenem resistance, repression of porin OprD","Signature modules; Gene set; Drug resistance","K07644,K07665",""
"M00761","100.0","Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K10011,K10012,K07806,K13014",""
"M00763","100.0","Ornithine biosynthesis, mediated by LysW, glutamate => ornithine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K05826",""
"M00793","100.0","dTDP-L-rhamnose biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K00973,K01710,K01790,K00067",""
"M00844","100.0","Arginine biosynthesis, ornithine => arginine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K00611,K01940,K01755",""
"M00845","100.0","Arginine biosynthesis, glutamate => acetylcitrulline => arginine","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K09065,K01755,K00145,K22478,K01940,K01438,K00821",""
"M00846","100.0","Siroheme biosynthesis, glutamate => siroheme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01719,K02302,K01749,K02492,K01885,K01845,K01698",""
"M00851","100.0","Carbapenem resistance","Signature modules; Gene set; Drug resistance","K18972",""
"M00854","100.0","Glycogen biosynthesis, glucose-1P => glycogen/starch","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00700,K00703,K00975",""
"M00855","100.0","Glycogen degradation, glycogen => glucose-6P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00688,K00705,K01200,K01835",""
"M00866","100.0","KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K02517,K00677,K00748,K09778,K02535,K00912,K02527,K03269,K02536",""
"M00868","100.0","Heme biosynthesis, animals and fungi, glycine => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00231,K01719,K01772,K00643,K01599,K00228,K01749,K01698",""
"M00879","100.0","Arginine succinyltransferase pathway, arginine => glutamate","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K00840,K01484,K00673,K05526,K06447",""
"M00880","100.0","Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K03750,K03637,K03639,K03635,K03831",""
"M00173","90.0","Reductive citrate cycle (Arnon-Buchanan cycle)","Pathway modules; Energy metabolism; Carbon fixation","K00177,K00240,K00175,K01595,K01007,K00241,K00024,K00174,K00239,K00031,K00242,K01903,K01902,K03737,K01676,K01681,K00176","K15231,K15230"
"M00878","85.71","Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K02611,K00074,K02612,K15866,K02609,K02610,K02613,K01692,K01912,K02618","K02615"
"M00596","83.33","Dissimilatory sulfate reduction, sulfate => H2S","Pathway modules; Energy metabolism; Sulfur metabolism","K00958,K00394,K00395,K11180","K11181"
"M00696","83.33","Multidrug resistance, efflux pump AcrEF-TolC","Signature modules; Gene set; Drug resistance","K12340,K18141,K18140","K18142"
"M00620","82.14","Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate","Pathway modules; Energy metabolism; Carbon fixation","K00171,K00177,K01677,K01959,K01903,K01678,K00175,K01902,K00172,K00024,K00174,K00170,K01960,K00176","K00169,K18209,K18210"
"M00029","80.0","Urea cycle","Pathway modules; Amino acid metabolism; Arginine and proline metabolism","K01940,K01755,K00611,K01476","K01948"
"M00540","80.0","Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K07536,K04116,K04117,K07535","K07534"
"M00575","80.0","Pertussis pathogenicity signature, T1SS","Signature modules; Gene set; Pathogenicity","K12340,K11004,K07389,K11003","K22944"
"M00577","80.0","Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00833,K01012,K01935,K00652","K01906"
"M00346","77.78","Formaldehyde assimilation, serine pathway","Pathway modules; Energy metabolism; Methane metabolism","K00830,K00024,K00600,K11529,K01689,K00018,K01595","K14067,K08691,K08692"
"M00136","75.0","GABA biosynthesis, prokaryotes, putrescine => GABA","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K09473,K09471,K09472","K09470"
"M00172","75.0","C4-dicarboxylic acid cycle, NADP - malic enzyme type","Pathway modules; Energy metabolism; Carbon fixation","K01006,K00029,K01595","K00051"
"M00308","75.0","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00927,K00134,K00874,K01625","K05308"
"M00344","75.0","Formaldehyde assimilation, xylulose monophosphate pathway","Pathway modules; Energy metabolism; Methane metabolism","K00863,K01624,K03841","K17100"
"M00366","75.0","C10-C20 isoprenoid biosynthesis, plants","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K13789,K01823,K00787","K14066"
"M00376","75.0","3-Hydroxypropionate bi-cycle","Pathway modules; Energy metabolism; Carbon fixation","K14449,K14470,K09709","K08691"
